property_id,specification_anchor,claim,lean_theorem,implementation_target,implementation_tool,result,evidence,scope,implementation_status,evidence_kind,human_review_status
APYX-redeem-liquidate-usdc,SPEC.md REQ-redeem-liquidate-usdc,The system SHALL liquidate preferred‑share collateral to USDC in order to settle any redemption request.,redeemApxUSDStep_effect,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,redeemApxUSDStep_effect (Apyx.lean) — Exact reserve debit and caller USDC credit of amount*redemptionValue/ray. | Modeled redeemApxUSD reserve debit/credit only; preferred-share USDC liquidation order is not modeled,model-local,not-run,model-partial,pending
APYX-redeem-no-share-transfer,SPEC.md REQ-redeem-no-share-transfer,The system MUST NOT transfer preferred shares directly to a participant who redeems apxUSD.,redeemApxUSDStep_effect,Apyx deployed contracts,none (hand-off: README §6.4),model=proved (unnamed mapping) / impl=not-run,redeemApxUSDStep_effect (Apyx.lean) — Post-state writes only usdcReserve/usdcBal over burnApxUSD.,model-local,not-run,model-proof,pending
APYX-redemption-settlement-value,SPEC.md REQ-redemption-settlement-value,"Redemptions SHALL be settled at the Redemption Value, which tracks the underlying basket.",redeemApxUSDStep_effect,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,redeemApxUSDStep_effect (Apyx.lean) — Settlement credit equals amount*redemptionValue/ray. | Settlement credit = amount*redemptionValue/ray proved; linkage to basket value is not modeled,model-local,not-run,model-partial,pending
APYX-liquidity-buffer-size,SPEC.md REQ-liquidity-buffer-size,The system SHALL maintain a liquidity buffer sized against the largest historical TVL drawdowns observed in comparable stablecoins.,none,off-chain process,manual review,out-of-scope (not formalizable),README §6.1; requirements.json formalizable=false,out-of-scope,not-recorded,scope-decision,pending
APYX-mint-access-whitelist,SPEC.md REQ-mint-access-whitelist,"Only participants who are eligible, located in permitted jurisdictions, and whitelisted SHALL be allowed to mint apxUSD.",mintApxUSDStep_effect; depositUSDCStep_effect,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,"mintApxUSDStep_effect; depositUSDCStep_effect (Apyx.lean) — Whitelist/denylist guards only; eligibility, jurisdiction, and implementation refinement are absent.",model-local,not-run,model-partial,pending
APYX-redeem-access-whitelist,SPEC.md REQ-redeem-access-whitelist,"Only participants who are eligible, located in permitted jurisdictions, and whitelisted SHALL be allowed to redeem apxUSD.",redeemApxUSDStep_effect,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,"redeemApxUSDStep_effect (Apyx.lean) — One path implies whitelist; eligibility, jurisdiction, poolRedeem, RFQ, and implementation refinement remain outside scope.",model-local,not-run,model-partial,pending
APYX-issuance-price-one,SPEC.md REQ-issuance-price-one,New apxUSD issuance SHALL be priced at exactly $1 per token.,depositUSDCStep_effect; req_mint_price_arbitrage_pathway,Apyx deployed contracts,none (hand-off: README §6.4),model=proved (unnamed mapping) / impl=not-run,depositUSDCStep_effect; req_mint_price_arbitrage_pathway (Apyx.lean) — Deposit mints exactly amount apxUSD for amount USDC.,model-local,not-run,model-proof,pending
APYX-buffer-growth-stress,SPEC.md REQ-buffer-growth-stress,The over‑collateralization buffer SHALL grow during stress events rather than be drained by them.,none,off-chain process,manual review,out-of-scope (not formalizable),README §6.1; requirements.json formalizable=false,out-of-scope,not-recorded,scope-decision,pending
APYX-deposit-permissionless,SPEC.md REQ-deposit-permissionless,The vault MUST allow any address to deposit apxUSD and receive apyUSD without requiring KYB/KYC.,req_deposit_permissionless,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,req_deposit_permissionless (Apyx.lean) — The model has no KYB/KYC field and proves only an abstract success condition.,model-local,not-run,model-partial,pending
APYX-token-no-rebase,SPEC.md REQ-token-no-rebase,"The apyUSD token MUST NOT rebase its balances; balances may change only via transfers, minting, or burning.",req_token_no_rebase,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,req_token_no_rebase (Apyx.lean) — Closed model has no peer-to-peer transfer/interface refinement; only absence of implicit rebase is proved.,model-local,not-run,model-partial,pending
APYX-exchange-rate-non-decreasing,SPEC.md REQ-exchange-rate-non-decreasing,The exchange rate between apyUSD and apxUSD MUST be non‑decreasing over time.,req_exchange_rate_non_decreasing; exchange_rate_non_decreasing_tick_trace; TickOnlyTrace,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,req_exchange_rate_non_decreasing (Apyx.lean) plus exchange_rate_non_decreasing_tick_trace (Safety.lean) — time monotonicity is proved over the explicit tick-only trace language; mixed traces can still change supply/custody and are not covered.,model-local; trace,not-run,model-partial,pending
APYX-redemption-exchange-rate-multiplier,SPEC.md REQ-redemption-exchange-rate-multiplier,"When a user redeems apyUSD, the system MUST transfer an amount of apxUSD equal to the number of apyUSD redeemed multiplied by the current exchange rate, which MUST be greater than or equal to 1.",redeemStep_effect,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,redeemStep_effect (Apyx.lean) — Payout at live rate proved; 'rate >= 1' claim survives nowhere.,model-local,not-run,model-partial,pending
APYX-jurisdiction-restriction-frontend,SPEC.md REQ-jurisdiction-restriction-frontend,The frontend MUST prevent users located in restricted jurisdictions from accessing the Apyx application.,none,off-chain process,manual review,out-of-scope (not formalizable),README §6.1; requirements.json formalizable=false,out-of-scope,not-recorded,scope-decision,pending
APYX-redemption-async-process,SPEC.md REQ-redemption-async-process,"Redemption requests MUST follow the three‑step asynchronous process of request, cooldown, and claim.",req_redemption_async_process,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,req_redemption_async_process (Apyx.lean) — Request/claim guard fragment; complete liveness and deployed process conformance are not proved.,model-local,not-run,model-partial,pending
APYX-redemption-cooldown-period,SPEC.md REQ-redemption-cooldown-period,"After a redemption request is submitted, the system MUST enforce a cooldown period of approximately 20 days before a claim can be executed.",req_single_pending_redemption_per_user; claimUnlockStep_effect; req_redemption_async_process; redemption_cycle_closes_after_cooldown,Apyx deployed contracts,none (hand-off: README §6.4),model=proved (unnamed mapping) / impl=not-run,req_single_pending_redemption_per_user; claimUnlockStep_effect; req_redemption_async_process; redemption_cycle_closes_after_cooldown (Apyx.lean) — Deadline now+cooldownPeriod recorded; claim requires cooldownEnd <= now; cooldownPeriod = 20*day.,model-local,not-run,model-proof,pending
APYX-single-pending-redemption-per-user,SPEC.md REQ-single-pending-redemption-per-user,"Each user MUST have at most one pending redemption request; if the user adds assets to an existing request, the cooldown timer MUST reset to the time of the update.",req_single_pending_redemption_per_user,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,req_single_pending_redemption_per_user (Apyx.lean) — The theorem establishes a pointed position after request; uniqueness and all receipt paths are not stated by this theorem.,model-local,not-run,model-partial,pending
APYX-cooldown-no-yield,SPEC.md REQ-cooldown-no-yield,"During a redemption cooldown, the exchange rate for the locked apyUSD MUST remain fixed and the user MUST not accrue additional yield on those tokens.",redeemStep_effect; withdrawStep_effect; req_pay_to_non_cooldown,Apyx deployed contracts,none (hand-off: README §6.4),model=proved (unnamed mapping) / impl=not-run,redeemStep_effect; withdrawStep_effect; req_pay_to_non_cooldown (Apyx.lean) — Payout frozen at request-time rate; creditYield leaves unlock entries unchanged.,model-local,not-run,model-proof,pending
APYX-flexible-redemption-claim-minimum,SPEC.md REQ-flexible-redemption-claim-minimum,A flexible redemption claim MUST be executable only after a minimum of 3 days have elapsed since the request.,flexibleClaimStep_effect; req_unlock_claimable_after_3d; flexible_fee_schedule_is_reachable,Apyx deployed contracts,none (hand-off: README §6.4),model=proved (unnamed mapping) / impl=not-run,flexibleClaimStep_effect; req_unlock_claimable_after_3d; flexible_fee_schedule_is_reachable (Apyx.lean) — Success requires requestTime + minFlexibleClaim <= now (3*day); reachable trace proved.,trace; reachable,not-run,model-proof,pending
APYX-flexible-redemption-early-fee,SPEC.md REQ-flexible-redemption-early-fee,The early redemption fee applied to a flexible redemption claim MUST start at 3.5 % and decline linearly over time to a minimum of 0.1 %.,req_early_unlock_fee_linear_decline; flexible_fee_schedule_is_reachable; flexibleUnlockFee_at_min_claim; flexibleUnlockFee_claimable_le; flexibleUnlockFee_before_cooldown_exact,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,"Apyx.lean — The executable claim window starts after 3 days, so the first claim is exactly 299 bps, not 350; all claimable states are ≤299, with an exact discrete formula before cooldown and a 10 bps terminal floor. The source-level 350→10 linearity claim is therefore not proved as stated.",reachable; counterexample; conditional-formula,not-run,model-partial,pending
APYX-flexible-redemption-multiple-requests,SPEC.md REQ-flexible-redemption-multiple-requests,The system MUST allow a user to have multiple concurrent flexible redemption unlock requests.,flexibleRequestUnlockStep_effect; registryDisjoint_createFlexibleUnlock; registryWellIndexed_flexibleRequestUnlock_step,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,flexibleRequestUnlockStep_effect; registryDisjoint_createFlexibleUnlock; registryWellIndexed_flexibleRequestUnlock_step (Apyx.lean) — Fresh-id allocation preserves prior entries; no theorem on two concurrent same-user requests.,model-local,not-run,model-partial,pending
APYX-overcollateralization-limit,SPEC.md REQ-overcollateralization-limit,The system MUST ensure that the total amount of apxUSD minted never exceeds the market value of the collateral minus the required overcollateralization margin.,req_overcollateralization_limit; solvency_preserved_ledger_derived,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,"The aggregate theorem remains unmargined and excludes claim settlement, stress, backstop, reserve withdrawal, and unbounded admin repricing. Ledger.lean adds solvency_preserved_ledger_derived: with an initial finite apxUSD ledger and initial price bound, the balance and price halves of WellFormed are derived along the trace; pending-aware solvency remains the separate invariant.",model-local; trace,not-run,model-partial,pending
APYX-buffer-preservation,SPEC.md REQ-buffer-preservation,The system MUST preserve the overcollateralization buffer during routine redemption operations; the buffer MUST NOT be consumed.,req_buffer_non_decreasing,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,"req_buffer_non_decreasing (Apyx.lean) — Four redemption paths only; stress, backstop, and reserve withdrawal are outside the theorem.",model-local,not-run,model-partial,pending
APYX-mint-redeem-at-redemption-value,SPEC.md REQ-mint-redeem-at-redemption-value,"All minting and redemption transactions MUST be executed at the Redemption Value, which reflects the underlying basket of preferred shares and cash.",mintApxUSDStep_effect; redeemApxUSDStep_effect; depositUSDCStep_effect,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,"mintApxUSDStep_effect; redeemApxUSDStep_effect; depositUSDCStep_effect (Apyx.lean) — Exact effect theorems: redeem pays (amount*redemptionValue)/ray; mint modeled 1:1 into reserve. | Redeem at redemptionValue proved; mint is modeled 1:1 (par), not at redemptionValue",model-local,not-run,model-partial,pending
APYX-buffer-non-decreasing,SPEC.md REQ-buffer-non-decreasing,"Outside of a catastrophic backstop, the overcollateralization buffer — the gap between Total Collateral Value and Redemption Value — MUST NOT decrease: it MUST NOT be consumed during routine redemptions and MUST be preserved (and MAY grow) through stress events, and it MAY increase over time via yield spreads and collateral appreciation. A catastrophic backstop is the sole exception and deliberately distributes the entire buffer (see catastrophic-backstop).",req_buffer_non_decreasing,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,"req_buffer_non_decreasing (Apyx.lean) — The theorem covers four redemption operations, not all transitions or stress events.",model-local,not-run,model-partial,pending
APYX-arbitrage-mint-access,SPEC.md REQ-arbitrage-mint-access,Only eligible whitelist participants SHALL be permitted to invoke the minting pathway for arbitrage when apxUSD trades above $1.00.,req_arbitrage_mint_access,Apyx deployed contracts,none (hand-off: README §6.4),model=proved / impl=not-run,req_arbitrage_mint_access (Apyx.lean),model-local,not-run,model-proof,pending
APYX-arbitrage-redeem-access,SPEC.md REQ-arbitrage-redeem-access,Only eligible whitelist participants SHALL be permitted to redeem apxUSD for dollar‑equivalent value when apxUSD trades below $1.00.,redeemApxUSDStep_effect,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,redeemApxUSDStep_effect (Apyx.lean) — One modeled path only; RFQ/pool paths and the full conditional access claim are not joined.,model-local,not-run,model-partial,pending
APYX-yield-distributor-credit,SPEC.md REQ-yield-distributor-credit,The YieldDistributor MUST credit converted apxUSD proceeds to the apyUSD vault.,req_yield_distributor_credit,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,req_yield_distributor_credit (Apyx.lean) — Authorized vesting update is proved; external transfer and deployed-vault credit are not modeled.,model-local,not-run,model-partial,pending
APYX-linear-vest-implementation,SPEC.md REQ-linear-vest-implementation,The LinearVestV0 contract MUST implement a linear vesting mechanism for yield credited to the apyUSD vault.,req_continuous_stream; vestedAmount_le_total; vestedAmount_monotone; vest_no_early_drain,Apyx deployed contracts,none (hand-off: README §6.4),model=proved (unnamed mapping) / impl=not-run,"req_continuous_stream; vestedAmount_le_total; vestedAmount_monotone; vest_no_early_drain (Apyx.lean + Safety.lean) — Zero at anchor, monotone, capped, full at period end.",model-local,not-run,model-proof,pending
APYX-credit-preserves-accrued-vest,SPEC.md REQ-credit-preserves-accrued-vest,"When new yield is deposited or the vesting period is changed, the LinearVestV0 contract MUST accrue the already-vested-but-not-yet-transferred amount into a separate fully-vested accumulator BEFORE resetting the vesting clock, so that previously accrued yield is preserved (not forfeited) across the reset.",req_credit_preserves_accrued_vest,Apyx deployed contracts,none (hand-off: README §6.4),model=proved / impl=not-run,req_credit_preserves_accrued_vest (Apyx.lean),model-local,not-run,model-proof,pending
APYX-continuous-stream,SPEC.md REQ-continuous-stream,Yield MUST be streamed continuously over a configurable period rather than as a lump‑sum distribution.,req_continuous_stream,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,"req_continuous_stream (Apyx.lean) — Zero-at-anchor, monotonicity, and endpoint are proved; literal continuity/no-lump property is not.",model-local,not-run,model-partial,pending
APYX-monthly-yield-rate-set,SPEC.md REQ-monthly-yield-rate-set,"Each month, the system MUST set the yield rate for the following month based on the prior month’s collateral‑base yield.",step_setYieldRate_exact,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,"step_setYieldRate_exact (BlastRadius.lean) — Forces admin, monthPeriod cadence, bps cap, basis refresh; liveness clause dropped. | Setter cadence/cap/basis proved; the liveness clause (rate IS set monthly) is not stated",model-local,not-run,model-partial,pending
APYX-yield-rate-dollar-terms,SPEC.md REQ-yield-rate-dollar-terms,The yield rate MUST be expressed in dollar terms for the month.,step_setYieldRate_exact,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,step_setYieldRate_exact (BlastRadius.lean) — Setter arithmetic wrapper only; the economic unit/refinement is not encoded.,model-local,not-run,model-partial,pending
APYX-pay-to-non-cooldown,SPEC.md REQ-pay-to-non-cooldown,Yield MUST be paid to all apyUSD tokens that are not currently undergoing cooldown.,req_pay_to_non_cooldown,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,req_pay_to_non_cooldown (Apyx.lean) — The theorem covers all current positive apyUSD holders and leaves unlock records unchanged; it does not state the requirement's cooldown predicate.,model-local,not-run,model-partial,pending
APYX-new-locked-receives-yield,SPEC.md REQ-new-locked-receives-yield,"When new apyUSD is locked, it MUST immediately begin receiving yield, which reduces the overall percentage yield for existing holders.",req_deposit_immediate; req_exchange_rate_non_decreasing; exchange_rate_monotone_deposit,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,req_deposit_immediate; req_exchange_rate_non_decreasing; exchange_rate_monotone_deposit (Apyx.lean + Safety.lean) — Missing: dilution clause (enlarged share base lowers existing holders' percentage yield).,model-local,not-run,model-partial,pending
APYX-cooldown-removal,SPEC.md REQ-cooldown-removal,"When apyUSD enters the cooldown phase, it MUST be removed from the yield pool, causing remaining apyUSD to receive a higher percentage yield.",redeemStep_effect,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,redeemStep_effect (Apyx.lean) — Post-state burns shares and creates unlock record; resulting higher per-share yield not stated.,model-local,not-run,model-partial,pending
APYX-configurable-vesting-period,SPEC.md REQ-configurable-vesting-period,The vesting period for linear yield distribution MUST be configurable.,req_configurable_vesting_period,Apyx deployed contracts,none (hand-off: README §6.4),model=proved / impl=not-run,req_configurable_vesting_period (Apyx.lean),model-local,not-run,model-proof,pending
APYX-redemption-value-uniform,SPEC.md REQ-redemption-value-uniform,The system MUST apply the same Redemption Value to all participants regardless of market conditions.,redeemApxUSDStep_effect,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,"redeemApxUSDStep_effect (Apyx.lean) — Payout formula depends only on amount and state, not caller. | Uniform payout proved for the modeled redeemApxUSD path; RFQ/pool redemption legs not covered by this row",model-local,not-run,model-partial,pending
APYX-buffer-not-consumed,SPEC.md REQ-buffer-not-consumed,The system MUST NOT reduce the overcollateralization buffer as a result of routine redemption operations.,req_buffer_non_decreasing,Apyx deployed contracts,none (hand-off: README §6.4),model=proved (unnamed mapping) / impl=not-run,req_buffer_non_decreasing (Apyx.lean) — Duplicate of buffer-preservation in the extraction.,model-local,not-run,model-proof,pending
APYX-catastrophic-backstop,SPEC.md REQ-catastrophic-backstop,"Upon detection of a catastrophic scenario, the system MUST set the per-apxUSD Redemption Value to Total Collateral Value divided by the total apxUSD supply, so that redeeming the entire supply distributes the full reserve (buffer included) pro-rata to holders. Redemption Value is a per-unit apxUSD→USDC price (the deployed ApxUSDRateOracle rate, 1e18 precision), not an aggregate.",req_catastrophic_backstop,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,req_catastrophic_backstop (Apyx.lean) — Per-unit reset and reserve clearing are modeled; aggregate pro-rata conservation and implementation refinement are not.,model-local,not-run,model-partial,pending
APYX-governance-deploy-buffer,SPEC.md REQ-governance-deploy-buffer,The system MUST restrict voting on buffer deployment to holders of the governance token.,voteBufferDeployment_requires_governance_holder; voteBufferDeployment_reverts_without_governance_holder; step,Apyx deployed contracts,none (hand-off: README §6.4),model=proved (guard) / impl=not-run,"Apyx.lean proves both directions of the modeled guard: every accepted vote has a positive governance-token balance, and a zero-balance caller gets none.",model-local,not-run,model-proof,pending
APYX-rfq-redemption-allowed,SPEC.md REQ-rfq-redemption-allowed,The system MUST allow users to submit redemption requests through the RFQ process and MUST permit only approved counterparties to execute those requests.,req_rfq_redemption_allowed,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,req_rfq_redemption_allowed (Apyx.lean) — Sufficient successful path with explicit balance and reserve premises; general allow/liveness and implementation refinement are not proved.,model-local,not-run,model-partial,pending
APYX-deposit-immediate,SPEC.md REQ-deposit-immediate,The apyUSD vault MUST complete deposit operations synchronously and deliver apyUSD shares to the receiver without any delay.,req_deposit_immediate,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,req_deposit_immediate (Apyx.lean) — Same-step abstract effect; ERC-4626 implementation conformance is not run.,model-local,not-run,model-partial,pending
APYX-mint-immediate,SPEC.md REQ-mint-immediate,The apyUSD vault MUST complete mint operations synchronously and deliver apyUSD shares to the receiver without any delay.,req_deposit_immediate,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,req_deposit_immediate (Apyx.lean) — Same-step abstract lock effect; deployed mint ABI/refinement is not run.,model-local,not-run,model-partial,pending
APYX-synchronous-withdraw-return-token,SPEC.md REQ-synchronous-withdraw-return-token,The apyUSD vault MUST execute withdrawals and redeems synchronously and MUST return apxUSD_unlock tokens immediately.,req_synchronous_withdraw_return_token,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,req_synchronous_withdraw_return_token (Apyx.lean) — One modeled receiver path and abstract registry creation; full withdraw/redeem interface behavior is not proved.,model-local,not-run,model-partial,pending
APYX-unlock-cooldown,SPEC.md REQ-unlock-cooldown,The apxUSD_unlock token MAY be redeemed for apxUSD only after a cooldown period has elapsed.,claimUnlockStep_effect; req_redemption_async_process; redemption_cycle_closes_after_cooldown,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,claimUnlockStep_effect; req_redemption_async_process; redemption_cycle_closes_after_cooldown (Apyx.lean) — Negative guard and one modeled trace are proved; full token/interface behavior is not.,trace,not-run,model-partial,pending
APYX-depositforminshares-slippage,SPEC.md REQ-depositforminshares-slippage,"depositForMinShares(uint256 assets, uint256 minShares, address receiver) MUST revert if the number of shares that would be minted is less than minShares.",depositForMinShares_reverts_on_slippage; depositForMinShares_delegates_when_bounded,Apyx deployed contracts,none (hand-off: README §6.4),model=proved (guard + delegation) / impl=not-run,"Apyx.lean proves both the reverting slippage branch and the bounded branch's exact delegation to lockApxUSD; underlying execution can still revert for protocol guards.",model-local,not-run,model-proof,pending
APYX-mintformaxassets-slippage,SPEC.md REQ-mintformaxassets-slippage,"mintForMaxAssets(uint256 shares, uint256 maxAssets, address receiver) MUST revert if the amount of assets required to mint the requested shares exceeds maxAssets.",mintForMaxAssets_reverts_on_slippage; mintForMaxAssets_delegates_when_bounded,Apyx deployed contracts,none (hand-off: README §6.4),model=proved (guard + delegation) / impl=not-run,"Apyx.lean proves both the reverting slippage branch and the bounded branch's exact delegation to lockApxUSD previewMint shares; the model's share-exact mint deviation remains documented.",model-local,not-run,model-proof,pending
APYX-totalAssets-includes-vault-balance-and-vested,SPEC.md REQ-totalAssets-includes-vault-balance-and-vested,The vault's totalAssets() function MUST include both the vault's apxUSD balance and the vestedAmount() reported by the LinearVestV0 contract.,totalAssets_eq_vault_balance_plus_vested,Apyx deployed contracts,none (hand-off: README §6.4),model=proved (view equation) / impl=not-run,totalAssets_eq_vault_balance_plus_vested (Apyx.lean) states the exact two-term view equation; the external vesting implementation is not refined.,model-local,not-run,model-proof,pending
APYX-withdrawal-pulls-vested,SPEC.md REQ-withdrawal-pulls-vested,"When processing a withdrawal, the apyUSD vault MUST pull all vested yield from the LinearVestV0 contract before completing the withdrawal.",withdrawStep_effect; pullVestedYield_moves_exactly_vested,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,withdrawStep_effect; pullVestedYield_moves_exactly_vested (Apyx.lean + Safety.lean) — Abstract ordering and amount are proved; external contract call ordering is not.,model-local,not-run,model-partial,pending
APYX-global-pause-blocks-deposit,SPEC.md REQ-global-pause-blocks-deposit,"If the global pause is active, any deposit or mint transaction MUST revert.",depositUSDCStep_effect; mintApxUSDStep_effect,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,depositUSDCStep_effect; mintApxUSDStep_effect (Apyx.lean) — Abstract dispatcher guard only; deployed entrypoint coverage is not run.,model-local,not-run,model-partial,pending
APYX-denylist-blocks-deposit,SPEC.md REQ-denylist-blocks-deposit,"If the caller or the receiver address is present in the deny list, deposit and mint operations MUST revert.",depositUSDCStep_effect; mintApxUSDStep_effect,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,depositUSDCStep_effect; mintApxUSDStep_effect (Apyx.lean) — Abstract dispatcher guards only; all deployed entrypoints are not covered.,model-local,not-run,model-partial,pending
APYX-deposit-emits-event,SPEC.md REQ-deposit-emits-event,"The deposit(assets, receiver) function MUST emit a Deposit event with parameters (sender, receiver, owner, assets, shares) upon successful execution.",req_deposit_emits_event,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,req_deposit_emits_event (Apyx.lean) — Untyped abstract string/list event and depositUSDC alias; ABI event refinement is not proved.,model-local,not-run,model-partial,pending
APYX-mint-emits-event,SPEC.md REQ-mint-emits-event,"The mint(shares, receiver) function MUST emit a Deposit event with parameters (sender, receiver, owner, assets, shares) upon successful execution.",mintApxUSDStep_effect,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,mintApxUSDStep_effect (Apyx.lean) — Abstract event tuple only; typed ABI event refinement is not proved.,model-local,not-run,model-partial,pending
